"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"199","MNI Fishery","Calamus bajonado","BAU",1,"CS","no_illegal_fishing",2,101939.854268841,0
"200","MNI Fishery","Calamus bajonado","30& MPA",1,"CS","no_illegal_fishing",2,94989.2592620104,0
"201","MNI Fishery","Cantherhines macrocerus","BAU",1,"no_CS","illegal_fishing",2,3364.6162138923,0
"202","MNI Fishery","Cantherhines macrocerus","30& MPA",1,"no_CS","illegal_fishing",2,4256.78218092642,0
"203","MNI Fishery","Cantherhines macrocerus","BAU",1,"CS","illegal_fishing",2,3364.6162138923,0
"204","MNI Fishery","Cantherhines macrocerus","30& MPA",1,"CS","illegal_fishing",2,4256.78218092642,0
"205","MNI Fishery","Cantherhines macrocerus","BAU",1,"no_CS","no_illegal_fishing",2,3364.6162138923,0
"206","MNI Fishery","Cantherhines macrocerus","30& MPA",1,"no_CS","no_illegal_fishing",2,4256.78218092642,0
"207","MNI Fishery","Cantherhines macrocerus","BAU",1,"CS","no_illegal_fishing",2,3364.6162138923,0
"208","MNI Fishery","Cantherhines macrocerus","30& MPA",1,"CS","no_illegal_fishing",2,4256.78218092642,0
"209","MNI Fishery","Canthidermis sufflamen","BAU",1,"no_CS","illegal_fishing",2,36248.4092276481,0
"210","MNI Fishery","Canthidermis sufflamen","30& MPA",1,"no_CS","illegal_fishing",2,43370.7671523195,0
"211","MNI Fishery","Canthidermis sufflamen","BAU",1,"CS","illegal_fishing",2,36248.4092276481,0
"212","MNI Fishery","Canthidermis sufflamen","30& MPA",1,"CS","illegal_fishing",2,43370.7671523195,0
"213","MNI Fishery","Canthidermis sufflamen","BAU",1,"no_CS","no_illegal_fishing",2,36248.4092276481,0
"214","MNI Fishery","Canthidermis sufflamen","30& MPA",1,"no_CS","no_illegal_fishing",2,43370.7671523195,0
"215","MNI Fishery","Canthidermis sufflamen","BAU",1,"CS","no_illegal_fishing",2,36248.4092276481,0
"216","MNI Fishery","Canthidermis sufflamen","30& MPA",1,"CS","no_illegal_fishing",2,43370.7671523195,0
"217","MNI Fishery","Carangoides bartholomaei","BAU",1,"no_CS","illegal_fishing",2,0,0
"218","MNI Fishery","Carangoides bartholomaei","30& MPA",1,"no_CS","illegal_fishing",2,0,0
"219","MNI Fishery","Carangoides bartholomaei","BAU",1,"CS","illegal_fishing",2,0,0
"220","MNI Fishery","Carangoides bartholomaei","30& MPA",1,"CS","illegal_fishing",2,0,0
"221","MNI Fishery","Carangoides bartholomaei","BAU",1,"no_CS","no_illegal_fishing",2,0,0
"222","MNI Fishery","Carangoides bartholomaei","30& MPA",1,"no_CS","no_illegal_fishing",2,0,0
"223","MNI Fishery","Carangoides bartholomaei","BAU",1,"CS","no_illegal_fishing",2,0,0
"224","MNI Fishery","Carangoides bartholomaei","30& MPA",1,"CS","no_illegal_fishing",2,0,0
"225","MNI Fishery","Caranx latus","BAU",1,"no_CS","illegal_fishing",2,19735.7408091101,0
"226","MNI Fishery","Caranx latus","30& MPA",1,"no_CS","illegal_fishing",2,19790.606276627,0
"227","MNI Fishery","Caranx latus","BAU",1,"CS","illegal_fishing",2,19735.7408091101,0
"228","MNI Fishery","Caranx latus","30& MPA",1,"CS","illegal_fishing",2,19790.606276627,0
"229","MNI Fishery","Caranx latus","BAU",1,"no_CS","no_illegal_fishing",2,19735.7408091101,0
"230","MNI Fishery","Caranx latus","30& MPA",1,"no_CS","no_illegal_fishing",2,19790.606276627,0
"231","MNI Fishery","Caranx latus","BAU",1,"CS","no_illegal_fishing",2,19735.7408091101,0
"232","MNI Fishery","Caranx latus","30& MPA",1,"CS","no_illegal_fishing",2,19790.606276627,0
"233","MNI Fishery","Caranx ruber","BAU",1,"no_CS","illegal_fishing",2,399746.314232588,0
"234","MNI Fishery","Caranx ruber","30& MPA",1,"no_CS","illegal_fishing",2,357123.884807237,0
"235","MNI Fishery","Caranx ruber","BAU",1,"CS","illegal_fishing",2,399746.314232588,0
"236","MNI Fishery","Caranx ruber","30& MPA",1,"CS","illegal_fishing",2,357123.884807237,0
"237","MNI Fishery","Caranx ruber","BAU",1,"no_CS","no_illegal_fishing",2,399746.314232588,0
"238","MNI Fishery","Caranx ruber","30& MPA",1,"no_CS","no_illegal_fishing",2,357123.884807237,0
"239","MNI Fishery","Caranx ruber","BAU",1,"CS","no_illegal_fishing",2,399746.314232588,0
"240","MNI Fishery","Caranx ruber","30& MPA",1,"CS","no_illegal_fishing",2,357123.884807237,0
"241","MNI Fishery","Cephalopholis cruentata","BAU",1,"no_CS","illegal_fishing",2,4989.4737481854,0
"242","MNI Fishery","Cephalopholis cruentata","30& MPA",1,"no_CS","illegal_fishing",2,4067.30086686234,0
"243","MNI Fishery","Cephalopholis cruentata","BAU",1,"CS","illegal_fishing",2,4989.4737481854,0
"244","MNI Fishery","Cephalopholis cruentata","30& MPA",1,"CS","illegal_fishing",2,4067.30086686234,0
"245","MNI Fishery","Cephalopholis cruentata","BAU",1,"no_CS","no_illegal_fishing",2,4989.4737481854,0
"246","MNI Fishery","Cephalopholis cruentata","30& MPA",1,"no_CS","no_illegal_fishing",2,4067.30086686234,0
"247","MNI Fishery","Cephalopholis cruentata","BAU",1,"CS","no_illegal_fishing",2,4989.4737481854,0
"248","MNI Fishery","Cephalopholis cruentata","30& MPA",1,"CS","no_illegal_fishing",2,4067.30086686234,0
"249","MNI Fishery","Cephalopholis fulva","BAU",1,"no_CS","illegal_fishing",2,253095.19829245,0
"250","MNI Fishery","Cephalopholis fulva","30& MPA",1,"no_CS","illegal_fishing",2,222964.922317717,0
"251","MNI Fishery","Cephalopholis fulva","BAU",1,"CS","illegal_fishing",2,253095.19829245,0
"252","MNI Fishery","Cephalopholis fulva","30& MPA",1,"CS","illegal_fishing",2,222964.922317717,0
"253","MNI Fishery","Cephalopholis fulva","BAU",1,"no_CS","no_illegal_fishing",2,253095.19829245,0
"254","MNI Fishery","Cephalopholis fulva","30& MPA",1,"no_CS","no_illegal_fishing",2,222964.922317717,0
"255","MNI Fishery","Cephalopholis fulva","BAU",1,"CS","no_illegal_fishing",2,253095.19829245,0
