"","species","management","time","biomass","harvest1","profit1","BvBMSY","FvFMSY1","FvFMSYtotal"
"3264","Epinephelus adscensionis","30% MPA",32,2655.60810768738,15.9293341006038,350.445350213284,0.621410938264608,0.354302408070153,0.354302408070153
"3265","Epinephelus adscensionis","BAU",33,2539.67546675446,21.7627522997893,478.780550595364,0.594282759611638,0.506146297243075,0.506146297243075
"3266","Epinephelus adscensionis","30% MPA",33,2705.09992840714,16.2262046159521,356.976501550946,0.632991998986956,0.354302408070153,0.354302408070153
"3267","Epinephelus adscensionis","BAU",34,2582.22557261264,22.1273687345438,486.802112159963,0.604239462608609,0.506146297243075,0.506146297243075
"3268","Epinephelus adscensionis","30% MPA",34,2754.73946390493,16.5239611799776,363.527145959507,0.644607624891776,0.354302408070153,0.354302408070153
"3269","Epinephelus adscensionis","BAU",35,2624.82886046368,22.4924408915165,494.833699613362,0.614208610164693,0.506146297243075,0.506146297243075
"3270","Epinephelus adscensionis","30% MPA",35,2804.51036795211,16.8225057418659,370.09512632105,0.656253990969929,0.354302408070153,0.354302408070153
"3271","Epinephelus adscensionis","BAU",36,2667.47254461453,22.8578592087282,502.872902592022,0.624187210434263,0.506146297243075,0.506146297243075
"3272","Epinephelus adscensionis","30% MPA",36,2854.39635667746,17.1217406248461,376.678293746614,0.667927286803881,0.354302408070153,0.354302408070153
"3273","Epinephelus adscensionis","BAU",37,2710.14395486906,23.2235151139053,510.917332505917,0.634172298597905,0.506146297243075,0.506146297243075
"3274","Epinephelus adscensionis","30% MPA",37,2904.38122608494,17.4215686312684,383.274509887905,0.679623720666853,0.354302408070153,0.354302408070153
"3275","Epinephelus adscensionis","BAU",38,2752.83054778378,23.5893011209309,518.96462466048,0.644160939496263,0.506146297243075,0.506146297243075
"3276","Epinephelus adscensionis","30% MPA",38,2954.44886906319,17.7218931446337,389.881649181942,0.691339523503026,0.354302408070153,0.354302408070153
"3277","Epinephelus adscensionis","BAU",39,2795.51991747227,23.9551109224296,527.012440293452,0.654150230158261,0.506146297243075,0.506146297243075
"3278","Epinephelus adscensionis","30% MPA",39,3004.5832918634,18.0226182284342,396.497601025552,0.703070952783367,0.354302408070153,0.354302408070153
"3279","Epinephelus adscensionis","BAU",40,2838.19980594953,24.3208394784094,535.058468525007,0.664137302221684,0.506146297243075,0.506146297243075
"3280","Epinephelus adscensionis","30% MPA",40,3054.76863002463,18.323648721679,403.120271876938,0.714814296232132,0.354302408070153,0.354302408070153
"3281","Epinephelus adscensionis","BAU",41,2880.85811300911,24.6863831008992,543.100428219783,0.674119324244413,0.506146297243075,0.506146297243075
"3282","Epinephelus adscensionis","30% MPA",41,3104.98916372765,18.6248903309926,409.747587281837,0.726565875419664,0.354302408070153,0.354302408070153
"3283","Epinephelus adscensionis","BAU",42,2923.48290562715,25.0516395345339,551.136069759746,0.684093503904971,0.506146297243075,0.506146297243075
"3284","Epinephelus adscensionis","30% MPA",42,3155.22933256078,18.9262497191858,416.377493822089,0.738322049217595,0.354302408070153,0.354302408070153
"3285","Epinephelus adscensionis","BAU",43,2966.06242688911,25.4165080330479,559.163176727054,0.694057090091373,0.506146297243075,0.506146297243075
"3286","Epinephelus adscensionis","30% MPA",43,3205.47374968345,19.2276345902142,423.007960984712,0.750079217113106,0.354302408070153,0.354302408070153
"3287","Epinephelus adscensionis","BAU",44,3008.58510443617,25.7808894316537,567.179567496381,0.704007374877579,0.506146297243075,0.506146297243075
"3288","Epinephelus adscensionis","30% MPA",44,3255.70721537512,19.5289537704492,429.636982949882,0.761833822379364,0.354302408070153,0.354302408070153
"3289","Epinephelus adscensionis","BAU",45,3051.03955842971,26.1446862152895,575.183096736369,0.713941695387169,0.506146297243075,0.506146297243075
"3290","Epinephelus adscensionis","30% MPA",45,3305.91472995952,19.8301172862031,436.262580296469,0.773582355099803,0.354302408070153,0.354302408070153
"3291","Epinephelus adscensionis","BAU",46,3093.41460903331,26.5078025827345,583.17165682016,0.723857435544148,0.506146297243075,0.506146297243075
"3292","Epinephelus adscensionis","30% MPA",46,3356.08150609626,20.1310364374585,442.882801624088,0.785321355044334,0.354302408070153,0.354302408070153
"3293","Epinephelus adscensionis","BAU",47,3135.69928341341,26.8701445065975,591.143179145146,0.733752027711076,0.506146297243075,0.506146297243075
"3294","Epinephelus adscensionis","30% MPA",47,3406.19298043354,20.4316238677656,449.495725090844,0.797047414396093,0.354302408070153,0.354302408070153
"3295","Epinephelus adscensionis","BAU",48,3177.88282226041,27.2316197891969,599.095635362331,0.743622954215009,0.506146297243075,0.506146297243075
"3296","Epinephelus adscensionis","30% MPA",48,3456.23482461811,20.731793630284,456.099459866249,0.808757180327749,0.354302408070153,0.354302408070153
"3297","Epinephelus adscensionis","BAU",49,3219.95468583334,27.5921381143584,607.027038515885,0.753467748761959,0.506146297243075,0.506146297243075
"3298","Epinephelus adscensionis","30% MPA",49,3506.19295566,21.0314612499544,462.692147498997,0.820447357426854,0.354302408070153,0.354302408070153
"3299","Epinephelus adscensionis","BAU",50,3261.90455953244,27.9516110951671,614.935444093676,0.763283997740856,0.506146297243075,0.506146297243075
"3300","Epinephelus adscensionis","30% MPA",50,3556.05354565166,21.3305437817975,469.271963199546,0.83211470997012,0.354302408070153,0.354302408070153
"3301","Haemulon album","BAU",1,2536.68572274199,70.9967660432496,1561.92885295149,0.373350011425116,0.727727161645699,0.727727161645699
"3302","Haemulon album","30% MPA",1,2536.68572274199,70.9967660432496,1561.92885295149,0.373350011425116,0.727727161645699,0.727727161645699
"3303","Haemulon album","BAU",2,2650.99127506597,74.1959501136429,1632.31090250014,0.390173529956999,0.727727161645699,0.727727161645699
"3304","Haemulon album","30% MPA",2,2650.99127506597,51.93716507955,1142.6176317501,0.390173529956999,0.509409013151989,0.509409013151989
"3305","Haemulon album","BAU",3,2766.69812265668,77.4343536392951,1703.55578006449,0.407203291461416,0.727727161645699,0.727727161645699
"3306","Haemulon album","30% MPA",3,2788.95690769077,54.6401327974504,1202.08292154391,0.410479344766831,0.509409013151989,0.509409013151989
"3307","Haemulon album","BAU",4,2883.63127394871,80.7070789558576,1775.55573702887,0.424413540637914,0.727727161645699,0.727727161645699
